filename,subject,issuer,modulus,exponent,key_size
cert_0_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_100_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_101_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_102_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_103_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_104_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_105_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_106_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_107_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
cert_108_0.pem,"CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB","CN=Merge Delay Monitor Root,OU=Certificate Transparency,O=Google UK Ltd.,ST=London,C=GB",693891887864364633405282514293139673647702342470013179133811933579779051501759846712146127275497400003945297809148976416272705243849458313541188220049688748863959369340602091374794447383441544832591135103025283474381443971039842579427206477928237961765277540188005479868063966979548752333424804677576941963916685980799101632078835269169961473945597028834207094605776866020769503863060581067315476766090875780580216139648988069624007699886407511420528914013550202118716700521725129233212620269462124686821841820093851122287321964051404011213150971765183569829585519883345261570926584891077123900747987353089339622268080511550871373923815186362669885985621553829422191612604550653661362420875928013834593757299892319310403611280092433762840346196302737936287180162402602508463481390571263546684151152339840457502149246059109376552601309876373272472799820086066826644319715248332620506061149730417852078561824156619249000677929154783537090334315923412992286408730344138068245369774828737653861690151475552297287764130596650730694402551643702201200415686727921468866670616868995189787175094822266749882843492527182782904491874205005490588297167498097887700881860235293338745733775035698829135774940932977161691080404962736310513951760987,65537,4096
